,source,target,Znum_x,Xnum_x,Znum_y,Xnum_y,commute,weight
0,IIIIII,IIIIIZ,0,0,1,0,True,0.0
1,IIIIII,IIIIZI,0,0,2,0,True,0.0
2,IIIIII,IIIIZZ,0,0,3,0,True,0.0
3,IIIIII,IIIZII,0,0,4,0,True,0.0
4,IIIIII,IIIZIZ,0,0,5,0,True,0.0
5,IIIIII,IIIZZI,0,0,6,0,True,0.0
6,IIIIII,IIZIII,0,0,8,0,True,0.0
7,IIIIII,IIZIIZ,0,0,9,0,True,0.0
8,IIIIII,IIZIZI,0,0,10,0,True,0.0
9,IIIIII,IIZZII,0,0,12,0,True,0.0
10,IIIIII,IZIIII,0,0,16,0,True,0.0
11,IIIIII,IZIIIZ,0,0,17,0,True,0.0
12,IIIIII,IZIIZI,0,0,18,0,True,0.0
13,IIIIII,IZIZII,0,0,20,0,True,0.0
14,IIIIII,IZZIII,0,0,24,0,True,0.0
15,IIIIII,ZIIIII,0,0,32,0,True,0.0
16,IIIIII,ZIIIIZ,0,0,33,0,True,0.0
17,IIIIII,ZIIIZI,0,0,34,0,True,0.0
18,IIIIII,ZIIZII,0,0,36,0,True,0.0
19,IIIIII,ZIZIII,0,0,40,0,True,0.0
20,IIIIII,ZZIIII,0,0,48,0,True,0.0
21,IIIIII,IXIXII,0,0,0,20,True,0.3333333333333333
22,IIIIII,IXXIXX,0,0,0,27,True,0.6666666666666666
23,IIIIII,IIXXYY,0,0,3,15,True,1.0
24,IIIIII,XXIIYY,0,0,3,51,True,1.0
25,IIIIII,IIXYYX,0,0,6,15,True,1.0
26,IIIIII,IXIZZX,0,0,6,17,True,0.3333333333333333
27,IIIIII,IXXYYI,0,0,6,30,True,1.0
28,IIIIII,IIYXXY,0,0,9,15,True,1.0
29,IIIIII,IXZXZI,0,0,10,20,True,0.3333333333333333
30,IIIIII,IXYIYX,0,0,10,27,True,1.0
31,IIIIII,IIYYXX,0,0,12,15,True,1.0
32,IIIIII,IXZZIX,0,0,12,17,True,0.3333333333333333
33,IIIIII,IXYYXI,0,0,12,30,True,1.0
34,IIIIII,XXYYII,0,0,12,60,True,1.0
35,IIIIII,IYXIXY,0,0,17,27,True,1.0
36,IIIIII,XZXIIZ,0,0,17,40,True,0.3333333333333333
37,IIIIII,IYXXYI,0,0,18,30,True,1.0
38,IIIIII,XZXXZX,0,0,18,45,True,0.6666666666666666
39,IIIIII,XYIIYX,0,0,18,51,True,1.0
40,IIIIII,IYIYII,0,0,20,20,True,0.6666666666666666
41,IIIIII,XZXZII,0,0,20,40,True,0.3333333333333333
42,IIIIII,IYIZZY,0,0,23,17,True,0.6666666666666666
43,IIIIII,XZXYZY,0,0,23,45,True,1.0
44,IIIIII,IYYXXI,0,0,24,30,True,1.0
45,IIIIII,XZZIXI,0,0,24,34,True,0.3333333333333333
46,IIIIII,XYYXII,0,0,24,60,True,1.0
47,IIIIII,IYYIYY,0,0,27,27,True,1.3333333333333333
48,IIIIII,XZZXYY,0,0,27,39,True,1.0
49,IIIIII,IYZZIY,0,0,29,17,True,0.6666666666666666
50,IIIIII,XZZZXZ,0,0,29,34,True,0.3333333333333333
51,IIIIII,IYZYZI,0,0,30,20,True,0.6666666666666666
52,IIIIII,XZZYYX,0,0,30,39,True,1.0
53,IIIIII,YXIIXY,0,0,33,51,True,1.0
54,IIIIII,YXXYII,0,0,36,60,True,1.0
55,IIIIII,YYIIXX,0,0,48,51,True,1.0
56,IIIIII,YYXXII,0,0,48,60,True,1.0
57,IIIIII,YZZXXY,0,0,57,39,True,1.0
58,IIIIII,YZYIIZ,0,0,57,40,True,0.6666666666666666
59,IIIIII,YZZIYI,0,0,58,34,True,0.6666666666666666
60,IIIIII,YZYXZX,0,0,58,45,True,1.0
61,IIIIII,YZZYXX,0,0,60,39,True,1.0
62,IIIIII,YZYZII,0,0,60,40,True,0.6666666666666666
63,IIIIII,YZZZYZ,0,0,63,34,True,0.6666666666666666
64,IIIIII,YZYYZY,0,0,63,45,True,1.3333333333333333
65,IIIIIZ,IIIIZI,1,0,2,0,True,0.0
66,IIIIIZ,IIIIZZ,1,0,3,0,True,0.0
67,IIIIIZ,IIIZII,1,0,4,0,True,0.0
68,IIIIIZ,IIIZIZ,1,0,5,0,True,0.0
69,IIIIIZ,IIIZZI,1,0,6,0,True,0.0
70,IIIIIZ,IIZIII,1,0,8,0,True,0.0
71,IIIIIZ,IIZIIZ,1,0,9,0,True,0.0
72,IIIIIZ,IIZIZI,1,0,10,0,True,0.0
73,IIIIIZ,IIZZII,1,0,12,0,True,0.0
74,IIIIIZ,IZIIII,1,0,16,0,True,0.0
75,IIIIIZ,IZIIIZ,1,0,17,0,True,0.0
76,IIIIIZ,IZIIZI,1,0,18,0,True,0.0
77,IIIIIZ,IZIZII,1,0,20,0,True,0.0
78,IIIIIZ,IZZIII,1,0,24,0,True,0.0
79,IIIIIZ,ZIIIII,1,0,32,0,True,0.0
80,IIIIIZ,ZIIIIZ,1,0,33,0,True,0.0
81,IIIIIZ,ZIIIZI,1,0,34,0,True,0.0
82,IIIIIZ,ZIIZII,1,0,36,0,True,0.0
83,IIIIIZ,ZIZIII,1,0,40,0,True,0.0
84,IIIIIZ,ZZIIII,1,0,48,0,True,0.0
85,IIIIIZ,IXIXII,1,0,0,20,True,0.3333333333333333
86,IIIIIZ,IXXIXX,1,0,0,27,False,0.6666666666666666
87,IIIIIZ,IIXXYY,1,0,3,15,False,1.0
88,IIIIIZ,XXIIYY,1,0,3,51,False,1.0
89,IIIIIZ,IIXYYX,1,0,6,15,False,1.0
90,IIIIIZ,IXIZZX,1,0,6,17,False,0.3333333333333333
91,IIIIIZ,IXXYYI,1,0,6,30,True,1.0
92,IIIIIZ,IIYXXY,1,0,9,15,False,1.0
93,IIIIIZ,IXZXZI,1,0,10,20,True,0.3333333333333333
94,IIIIIZ,IXYIYX,1,0,10,27,False,1.0
95,IIIIIZ,IIYYXX,1,0,12,15,False,1.0
96,IIIIIZ,IXZZIX,1,0,12,17,False,0.3333333333333333
97,IIIIIZ,IXYYXI,1,0,12,30,True,1.0
98,IIIIIZ,XXYYII,1,0,12,60,True,1.0
99,IIIIIZ,IYXIXY,1,0,17,27,False,1.0
100,IIIIIZ,XZXIIZ,1,0,17,40,True,0.3333333333333333
101,IIIIIZ,IYXXYI,1,0,18,30,True,1.0
102,IIIIIZ,XZXXZX,1,0,18,45,False,0.6666666666666666
103,IIIIIZ,XYIIYX,1,0,18,51,False,1.0
104,IIIIIZ,IYIYII,1,0,20,20,True,0.6666666666666666
105,IIIIIZ,XZXZII,1,0,20,40,True,0.3333333333333333
106,IIIIIZ,IYIZZY,1,0,23,17,False,0.6666666666666666
107,IIIIIZ,XZXYZY,1,0,23,45,False,1.0
108,IIIIIZ,IYYXXI,1,0,24,30,True,1.0
109,IIIIIZ,XZZIXI,1,0,24,34,True,0.3333333333333333
110,IIIIIZ,XYYXII,1,0,24,60,True,1.0
111,IIIIIZ,IYYIYY,1,0,27,27,False,1.3333333333333333
112,IIIIIZ,XZZXYY,1,0,27,39,False,1.0
113,IIIIIZ,IYZZIY,1,0,29,17,False,0.6666666666666666
114,IIIIIZ,XZZZXZ,1,0,29,34,True,0.3333333333333333
115,IIIIIZ,IYZYZI,1,0,30,20,True,0.6666666666666666
116,IIIIIZ,XZZYYX,1,0,30,39,False,1.0
117,IIIIIZ,YXIIXY,1,0,33,51,False,1.0
118,IIIIIZ,YXXYII,1,0,36,60,True,1.0
119,IIIIIZ,YYIIXX,1,0,48,51,False,1.0
120,IIIIIZ,YYXXII,1,0,48,60,True,1.0
121,IIIIIZ,YZZXXY,1,0,57,39,False,1.0
122,IIIIIZ,YZYIIZ,1,0,57,40,True,0.6666666666666666
123,IIIIIZ,YZZIYI,1,0,58,34,True,0.6666666666666666
124,IIIIIZ,YZYXZX,1,0,58,45,False,1.0
125,IIIIIZ,YZZYXX,1,0,60,39,False,1.0
126,IIIIIZ,YZYZII,1,0,60,40,True,0.6666666666666666
127,IIIIIZ,YZZZYZ,1,0,63,34,True,0.6666666666666666
128,IIIIIZ,YZYYZY,1,0,63,45,False,1.3333333333333333
129,IIIIZI,IIIIZZ,2,0,3,0,True,0.0
130,IIIIZI,IIIZII,2,0,4,0,True,0.0
131,IIIIZI,IIIZIZ,2,0,5,0,True,0.0
132,IIIIZI,IIIZZI,2,0,6,0,True,0.0
133,IIIIZI,IIZIII,2,0,8,0,True,0.0
134,IIIIZI,IIZIIZ,2,0,9,0,True,0.0
135,IIIIZI,IIZIZI,2,0,10,0,True,0.0
136,IIIIZI,IIZZII,2,0,12,0,True,0.0
137,IIIIZI,IZIIII,2,0,16,0,True,0.0
138,IIIIZI,IZIIIZ,2,0,17,0,True,0.0
139,IIIIZI,IZIIZI,2,0,18,0,True,0.0
140,IIIIZI,IZIZII,2,0,20,0,True,0.0
141,IIIIZI,IZZIII,2,0,24,0,True,0.0
142,IIIIZI,ZIIIII,2,0,32,0,True,0.0
143,IIIIZI,ZIIIIZ,2,0,33,0,True,0.0
144,IIIIZI,ZIIIZI,2,0,34,0,True,0.0
145,IIIIZI,ZIIZII,2,0,36,0,True,0.0
146,IIIIZI,ZIZIII,2,0,40,0,True,0.0
147,IIIIZI,ZZIIII,2,0,48,0,True,0.0
148,IIIIZI,IXIXII,2,0,0,20,True,0.3333333333333333
149,IIIIZI,IXXIXX,2,0,0,27,False,0.6666666666666666
150,IIIIZI,IIXXYY,2,0,3,15,False,1.0
151,IIIIZI,XXIIYY,2,0,3,51,False,1.0
152,IIIIZI,IIXYYX,2,0,6,15,False,1.0
153,IIIIZI,IXIZZX,2,0,6,17,True,0.3333333333333333
154,IIIIZI,IXXYYI,2,0,6,30,False,1.0
155,IIIIZI,IIYXXY,2,0,9,15,False,1.0
156,IIIIZI,IXZXZI,2,0,10,20,True,0.3333333333333333
157,IIIIZI,IXYIYX,2,0,10,27,False,1.0
158,IIIIZI,IIYYXX,2,0,12,15,False,1.0
159,IIIIZI,IXZZIX,2,0,12,17,True,0.3333333333333333
160,IIIIZI,IXYYXI,2,0,12,30,False,1.0
161,IIIIZI,XXYYII,2,0,12,60,True,1.0
162,IIIIZI,IYXIXY,2,0,17,27,False,1.0
163,IIIIZI,XZXIIZ,2,0,17,40,True,0.3333333333333333
164,IIIIZI,IYXXYI,2,0,18,30,False,1.0
165,IIIIZI,XZXXZX,2,0,18,45,True,0.6666666666666666
166,IIIIZI,XYIIYX,2,0,18,51,False,1.0
167,IIIIZI,IYIYII,2,0,20,20,True,0.6666666666666666
168,IIIIZI,XZXZII,2,0,20,40,True,0.3333333333333333
169,IIIIZI,IYIZZY,2,0,23,17,True,0.6666666666666666
170,IIIIZI,XZXYZY,2,0,23,45,True,1.0
171,IIIIZI,IYYXXI,2,0,24,30,False,1.0
172,IIIIZI,XZZIXI,2,0,24,34,False,0.3333333333333333
173,IIIIZI,XYYXII,2,0,24,60,True,1.0
174,IIIIZI,IYYIYY,2,0,27,27,False,1.3333333333333333
175,IIIIZI,XZZXYY,2,0,27,39,False,1.0
176,IIIIZI,IYZZIY,2,0,29,17,True,0.6666666666666666
177,IIIIZI,XZZZXZ,2,0,29,34,False,0.3333333333333333
178,IIIIZI,IYZYZI,2,0,30,20,True,0.6666666666666666
179,IIIIZI,XZZYYX,2,0,30,39,False,1.0
180,IIIIZI,YXIIXY,2,0,33,51,False,1.0
181,IIIIZI,YXXYII,2,0,36,60,True,1.0
182,IIIIZI,YYIIXX,2,0,48,51,False,1.0
183,IIIIZI,YYXXII,2,0,48,60,True,1.0
