,index,Pstring,type,Z,X,Znum,Xnum,zindex,xindex
0,0,IIIIIIII,0,IIIIIIII,,0,0,0,0
1,1,IIIIIIIZ,0,IIIIIIIZ,,1,0,1,0
2,2,IIIIIIZI,0,IIIIIIZI,,2,0,2,0
3,3,IIIIIIZZ,0,IIIIIIZZ,,3,0,3,0
4,4,IIIIIZII,0,IIIIIZII,,4,0,4,0
5,5,IIIIIZIZ,0,IIIIIZIZ,,5,0,5,0
6,6,IIIIIZZI,0,IIIIIZZI,,6,0,6,0
7,7,IIIIZIII,0,IIIIZIII,,8,0,7,0
8,8,IIIIZIIZ,0,IIIIZIIZ,,9,0,8,0
9,9,IIIIZIZI,0,IIIIZIZI,,10,0,9,0
10,10,IIIIZZII,0,IIIIZZII,,12,0,10,0
11,11,IIIZIIII,0,IIIZIIII,,16,0,11,0
12,12,IIIZIIIZ,0,IIIZIIIZ,,17,0,12,0
13,13,IIIZIIZI,0,IIIZIIZI,,18,0,13,0
14,14,IIIZIZII,0,IIIZIZII,,20,0,14,0
15,15,IIIZZIII,0,IIIZZIII,,24,0,15,0
16,16,IIZIIIII,0,IIZIIIII,,32,0,16,0
17,17,IIZIIIIZ,0,IIZIIIIZ,,33,0,17,0
18,18,IIZIIIZI,0,IIZIIIZI,,34,0,18,0
19,19,IIZIIZII,0,IIZIIZII,,36,0,19,0
20,20,IIZIZIII,0,IIZIZIII,,40,0,20,0
21,21,IIZZIIII,0,IIZZIIII,,48,0,21,0
22,22,IZIIIIII,0,IZIIIIII,,64,0,22,0
23,23,IZIIIIIZ,0,IZIIIIIZ,,65,0,23,0
24,24,IZIIIIZI,0,IZIIIIZI,,66,0,24,0
25,25,IZIIIZII,0,IZIIIZII,,68,0,25,0
26,26,IZIIZIII,0,IZIIZIII,,72,0,26,0
27,27,IZIZIIII,0,IZIZIIII,,80,0,27,0
28,28,IZZIIIII,0,IZZIIIII,,96,0,28,0
29,29,ZIIIIIII,0,ZIIIIIII,,128,0,29,0
30,30,ZIIIIIIZ,0,ZIIIIIIZ,,129,0,30,0
31,31,ZIIIIIZI,0,ZIIIIIZI,,130,0,31,0
32,32,ZIIIIZII,0,ZIIIIZII,,132,0,32,0
33,33,ZIIIZIII,0,ZIIIZIII,,136,0,33,0
34,34,ZIIZIIII,0,ZIIZIIII,,144,0,34,0
35,35,ZIZIIIII,0,ZIZIIIII,,160,0,35,0
36,36,ZZIIIIII,0,ZZIIIIII,,192,0,36,0
37,37,IIIIXXYY,2,IIIIIIZZ,IIIIXXXX,3,15,3,1
38,41,IIXXIIYY,2,IIIIIIZZ,IIXXIIXX,3,51,3,2
39,45,XXIIIIYY,2,IIIIIIZZ,XXIIIIXX,3,195,3,3
40,38,IIIIXYYX,2,IIIIIZZI,IIIIXXXX,6,15,6,1
41,49,IIIXIZZX,2,IIIIIZZI,IIIXIIIX,6,17,6,4
42,63,IIIXXYYI,2,IIIIIZZI,IIIXXXXI,6,30,6,5
43,67,IXXIIYYI,2,IIIIIZZI,IXXIIXXI,6,102,6,6
44,71,IXXIXZZX,2,IIIIIZZI,IXXIXIIX,6,105,6,7
45,39,IIIIYXXY,2,IIIIZIIZ,IIIIXXXX,9,15,8,1
46,50,IIIXZIZX,2,IIIIZIZI,IIIXIIIX,10,17,9,4
47,40,IIIIYYXX,2,IIIIZZII,IIIIXXXX,12,15,10,1
48,51,IIIXZZIX,2,IIIIZZII,IIIXIIIX,12,17,10,4
49,64,IIIXYYXI,2,IIIIZZII,IIIXXXXI,12,30,10,5
50,75,IIXIZZXI,2,IIIIZZII,IIXIIIXI,12,34,10,8
51,89,IIXXYYII,2,IIIIZZII,IIXXXXII,12,60,10,9
52,93,XXIIYYII,2,IIIIZZII,XXIIXXII,12,204,10,10
53,97,XXIXZZXI,2,IIIIZZII,XXIXIIXI,12,210,10,11
54,52,IIIXZZZX,2,IIIIZZZI,IIIXIIIX,14,17,37,4
55,65,IIIYXXYI,2,IIIZIIZI,IIIXXXXI,18,30,13,5
56,101,IIXZXXZX,2,IIIZIIZI,IIXIXXIX,18,45,13,12
57,42,IIXYIIYX,2,IIIZIIZI,IIXXIIXX,18,51,13,2
58,76,IIXZIZXI,2,IIIZIZII,IIXIIIXI,20,34,14,8
59,53,IIIYIZZY,2,IIIZIZZZ,IIIXIIIX,23,17,38,4
60,102,IIXZXYZY,2,IIIZIZZZ,IIXIXXIX,23,45,38,12
61,66,IIIYYXXI,2,IIIZZIII,IIIXXXXI,24,30,15,5
62,77,IIXZZIXI,2,IIIZZIII,IIXIIIXI,24,34,15,8
63,90,IIXYYXII,2,IIIZZIII,IIXXXXII,24,60,15,9
64,105,IXIZZXII,2,IIIZZIII,IXIIIXII,24,68,15,13
65,119,IXXYYIII,2,IIIZZIII,IXXXXIII,24,120,15,14
66,54,IIIYZIZY,2,IIIZZIZZ,IIIXIIIX,27,17,39,4
67,78,IIXZZZXI,2,IIIZZZII,IIXIIIXI,28,34,40,8
68,55,IIIYZZIY,2,IIIZZZIZ,IIIXIIIX,29,17,41,4
69,79,IIXZZZXZ,2,IIIZZZIZ,IIXIIIXI,29,34,41,8
70,56,IIIYZZZY,2,IIIZZZZZ,IIIXIIIX,31,17,42,4
71,43,IIYXIIXY,2,IIZIIIIZ,IIXXIIXX,33,51,17,2
72,123,IXZXIXZX,2,IIZIIIZI,IXIXIXIX,34,85,18,15
73,91,IIYXXYII,2,IIZIIZII,IIXXXXII,36,60,19,9
74,129,IXZXXZXI,2,IIZIIZII,IXIXXIXI,36,90,19,16
75,68,IXYIIYXI,2,IIZIIZII,IXXIIXXI,36,102,19,6
76,124,IXZXIYZY,2,IIZIIZZZ,IXIXIXIX,39,85,43,15
77,106,IXZIZXII,2,IIZIZIII,IXIIIXII,40,68,20,13
78,57,IIZXZZZX,2,IIZIZZZI,IIIXIIIX,46,17,44,4
79,80,IIYIZZYI,2,IIZIZZZI,IIXIIIXI,46,34,44,8
80,130,IXZXYZYI,2,IIZIZZZI,IXIXXIXI,46,90,44,16
81,72,IXYIYZZX,2,IIZIZZZI,IXXIXIIX,46,105,44,7
82,44,IIYYIIXX,2,IIZZIIII,IIXXIIXX,48,51,21,2
83,92,IIYYXXII,2,IIZZIIII,IIXXXXII,48,60,21,9
84,107,IXZZIXII,2,IIZZIIII,IXIIIXII,48,68,21,13
85,133,IXZZXIXX,2,IIZZIIII,IXIIXIXX,48,75,21,17
86,120,IXYYXIII,2,IIZZIIII,IXXXXIII,48,120,21,14
87,137,XIZZXIII,2,IIZZIIII,XIIIXIII,48,136,21,18
88,151,XXYYIIII,2,IIZZIIII,XXXXIIII,48,240,21,19
89,81,IIYZIZYI,2,IIZZIZZI,IIXIIIXI,54,34,45,8
90,125,IXZYIYZX,2,IIZZIZZI,IXIXIXIX,54,85,45,15
91,108,IXZZZXII,2,IIZZZIII,IXIIIXII,56,68,46,13
92,109,IXZZZXIZ,2,IIZZZIIZ,IXIIIXII,57,68,47,13
93,82,IIYZZIYI,2,IIZZZIZI,IIXIIIXI,58,34,48,8
94,103,IIYZYXZX,2,IIZZZIZI,IIXIXXIX,58,45,48,12
95,110,IXZZZXZI,2,IIZZZIZI,IXIIIXII,58,68,48,13
96,134,IXZZYIYX,2,IIZZZIZI,IXIIXIXX,58,75,48,17
97,83,IIYZZZYI,2,IIZZZZZI,IIXIIIXI,62,34,49,8
98,58,IIZYZZZY,2,IIZZZZZZ,IIIXIIIX,63,17,50,4
99,84,IIYZZZYZ,2,IIZZZZZZ,IIXIIIXI,63,34,50,8
100,104,IIYZYYZY,2,IIZZZZZZ,IIXIXXIX,63,45,50,12
101,173,XXYZZZZY,2,IIZZZZZZ,XXXIIIIX,63,225,50,20
102,69,IYXIIXYI,2,IZIIIIZI,IXXIIXXI,66,102,24,6
103,155,XZXIIXZX,2,IZIIIIZI,XIXIIXIX,66,165,24,21
104,46,XYIIIIYX,2,IZIIIIZI,XXIIIIXX,66,195,24,3
105,159,XZXIXZXI,2,IZIIIZII,XIXIXIXI,68,170,25,22
106,73,IYXIXZZY,2,IZIIIZZZ,IXXIXIIX,71,105,51,7
107,156,XZXIIYZY,2,IZIIIZZZ,XIXIIXIX,71,165,51,21
108,121,IYXXYIII,2,IZIIZIII,IXXXXIII,72,120,26,14
109,165,XZXXZXII,2,IZIIZIII,XIXXIXII,72,180,26,23
110,94,XYIIYXII,2,IZIIZIII,XXIIXXII,72,204,26,10
111,59,IZIXZZZX,2,IZIIZZZI,IIIXIIIX,78,17,52,4
112,160,XZXIYZYI,2,IZIIZZZI,XIXIXIXI,78,170,52,22
113,138,XZIZXIII,2,IZIZIIII,XIIIXIII,80,136,27,18
114,85,IZXZZZXI,2,IZIZZZII,IIXIIIXI,92,34,53,8
115,111,IYIZZYII,2,IZIZZZII,IXIIIXII,92,68,53,13
116,166,XZXYZYII,2,IZIZZZII,XIXXIXII,92,180,53,23
117,98,XYIYZZXI,2,IZIZZZII,XXIXIIXI,92,210,53,11
118,60,IZIYZZZY,2,IZIZZZZZ,IIIXIIIX,95,17,54,4
119,70,IYYIIXXI,2,IZZIIIII,IXXIIXXI,96,102,28,6
120,122,IYYXXIII,2,IZZIIIII,IXXXXIII,96,120,28,14
121,139,XZZIXIII,2,IZZIIIII,XIIIXIII,96,136,28,18
122,169,XZZXIXXI,2,IZZIIIII,XIIXIXXI,96,150,28,24
123,152,XYYXIIII,2,IZZIIIII,XXXXIIII,96,240,28,19
124,126,IYZXIXZY,2,IZZIIIZZ,IXIXIXIX,99,85,55,15
125,112,IYZIZYII,2,IZZIZZII,IXIIIXII,108,68,56,13
126,161,XZYIYZXI,2,IZZIZZII,XIXIXIXI,108,170,56,22
